seq,,collectionCode,institutionCode,collectionName,institutionName,scope,numberOfRecords,city,state,country,keywords_en
1,AcariESALQ_USP,AcariESALQ,USP,Coleção de Ácaros da ESALQ,Universidade de São Paulo,animais,17606,Piracicaba,SP,Brasil,acari mites animals arachnids terrestrial invertebrates
3,AMNH-Bee_AMNH,AMNH-Bee,AMNH,Collaborative databasing of North American bee collections within a global informatics network project,American Museum of Natural History,animais,60651,Nova York,NY,Estados Unidos,animals hymenoptera ants bees and wasps insects terrestrial invertebrates
4,ANSP-Ichthyology_ANSP,ANSP-Ichthyology,ANSP,The Academy of Natural Sciences Fish Collection,The Academy of Natural Sciences,animais,146747,Philadelphia,PA,Estados Unidos,animals fishes vertebrates
5,Aranhas-Solobioma_UFPR,Aranhas-Solobioma,UFPR,Coleção de Aranhas Solobioma,Universidade Federal do Paraná,animais,47,Curitiba,PR,Brasil,animals arachnids terrestrial invertebrates
6,ARAR_UPF,ARAR,UPF,Coleção Aracnídeos da UPF,Universidade de Passo Fundo,animais,904,Passo Fundo,RS,Brasil,animals arachnids terrestrial invertebrates
25,CAHZ_UFPB,CAHZ,UFPB,Coleção de Aves Heretiano Zenaide,Universidade Federal da Paraíba,animais,2949,Areia,PB,Brasil,animals birds vertebrates
28,CAUPF_UPF,CAUPF,UPF,Coleção de Anfíbios da UPF,Universidade de Passo Fundo,animais,214,Passo Fundo,RS,Brasil,animals reptiles and amphibians vertebrates
29,CAVESUPF_UPF,CAVESUPF,UPF,Coleção de Aves da Universidade de Passo Fundo,Universidade de Passo Fundo,animais,300,Passo Fundo,RS,Brasil,animals birds vertebrates
31,CBVS_IFSULDEMINAS,CBVS,IFSULDEMINAS,Coleção Biológica de Vespas Sociais,Instituto Federal Sul de Minas Gerais,animais,6197,Inconfidentes,MG,Brasil,animals hymenoptera ants bees and wasps insects terrestrial invertebrates
33,CECA_UEMA,CECA,UEMA,Coleção Entomológica do Curso de Agronomia,Universidade Estadual do Maranhão,animais,400,São Luís,MA,Brasil,acari mites animals arachnids terrestrial invertebrates
34,CECG_UEPG,CECG,UEPG,Coleção Entomológica dos Campos Gerais do Paraná,Universidade Estatual de Ponta Grossa,animais,1864,Ponta Grossa,PR,Brasil,animals insects terrestrial invertebrates
35,CEMeC_EBDA,CEMeC,EBDA,Coleção Entomológica Moure & Costa,Empresa Baiana de Desenvolvimento Agrícola,animais,18656,Salvador,BA,Brasil,animals hymenoptera ants bees and wasps insects terrestrial invertebrates
36,CE-MHS_UFSC,CE-MHS,UFSC,Coleção Entomológica Mítia Heusi Silveira,Universidade Federal de Santa Catarina,animais,2722,Florianópolis,SC,Brasil,animals coleoptera beetles and scarabs insects terrestrial invertebrates
37,CEMT_UFMT,CEMT,UFMT,Setor de Entomologia da Coleção Zoológica da Universidade Federal de Mato Grosso,Universidade Federal de Mato Grosso,animais,56423,Cuiabá,MT,Brasil,animals arachnids araneae spiders insects pseudoscorpiones pseudoscorpions book scorpions terrestrial invertebrates
39,CEPANN_USP,CEPANN,USP,Coleção Entomológica Paulo Nogueira-Neto - IB/USP,Universidade de São Paulo,animais,41650,São Paulo,SP,Brasil,animals hymenoptera ants bees and wasps insects terrestrial invertebrates
42,CESC_UNISC,CESC,UNISC,Coleção Entomológica de Santa Cruz do Sul,Universidade de Santa Cruz do Sul,animais,29373,Santa Cruz do Sul,RS,Brasil,animals arachnids insects terrestrial invertebrates
44,CE-UFPE_UFPE,CE-UFPE,UFPE,Coleção Entomológica da UFPE,Universidade Federal de Pernambuco,animais,4080,Recife,PE,Brasil,animals coleoptera beetles and scarabs diptera flies and mosquitoes hymenoptera ants bees and wasps insects lepidoptera butterflies and moths terrestrial invertebrates trichoptera caddisflies
45,CEUPF_UPF,CEUPF,UPF,Coleção Entomologia da UPF,Universidade de Passo Fundo,animais,466,Passo Fundo,RS,Brasil,animals insects terrestrial invertebrates
46,CEUPF-Lepidopteros-Urticantes_UPF,CEUPF-Lepidopteros-Urticantes,UPF,Coleção Entomologia da UPF - Lepidópteros Urticantes,Universidade de Passo Fundo,animais,821,Passo Fundo,RS,Brasil,animals insects lepidoptera butterflies and moths terrestrial invertebrates
47,CEUPF-Lonomia-Obliqua_UPF,CEUPF-Lonomia-Obliqua,UPF,Coleção Entomologia da UPF - Lonomia obliqua,Universidade de Passo Fundo,animais,1464,Passo Fundo,RS,Brasil,animals insects lepidoptera butterflies and moths terrestrial invertebrates
49,CFBH_UNESP,CFBH,UNESP,Coleção Célio F. B. Haddad,Universidade Estadual Paulista,animais,30593,Rio Claro,SP,Brasil,animals reptiles and amphibians vertebrates
54,CH_UFBA,CH,UFBA,Coleção Herpetológica do Museu de História Natural da Bahia,Universidade Federal da Bahia,animais,4499,Salvador,BA,Brasil,animals reptiles and amphibians vertebrates
55,CHUFJF-Repteis_UFJF,CHUFJF-Repteis,UFJF,Coleção Herpetológica da Universidade Federal de Juiz de Fora - Répteis,Universidade Federal de Juiz de Fora,animais,1602,Juiz de Fora,MG,Brasil,animals reptiles and amphibians vertebrates
56,CIAMT_UFMT,CIAMT,UFMT,Coleção de Invertebrados Aquáticos da UFMT,Universidade Federal de Mato Grosso,animais,1606,Cuiabá,MT,Brasil,animals aquatic invertebrates insects terrestrial invertebrates
58,CIUFES_UFES,CIUFES,UFES,Coleção Ictiológica da Universidade Federal do Espírito Santo,Universidade Federal do Espírito Santo,animais,4527,Vitória,ES,Brasil,animals fishes vertebrates
59,CM_UNEMAT,CM,UNEMAT,Coleção de Mamíferos da UNEMAT - Campus Nova Xavantina,Universidade do Estado de Mato Grosso,animais,784,Nova Xavantina,MT,Brasil,animals mammals vertebrates
60,CM-Birds_CARNEGIEMNH,CM-Birds,CARNEGIEMNH,Carnegie Museum Birds Collection,Carnegie Museum of Natural History,animais,66822,Pittsburgh,PA,Estados Unidos,animals birds vertebrates
61,CMOUPF_UPF,CMOUPF,UPF,Coleção Moluscos da UPF,Universidade de Passo Fundo,animais,712,Passo Fundo,RS,Brasil,animals aquatic invertebrates mollusca
62,CMPHRM_UFC,CMPHRM,UFC,Coleção Malacológica Prof. Henry Ramos Matthews Série B,Universidade Federal do Ceará,animais,6190,Fortaleza,CE,Brasil,animals aquatic invertebrates mollusca
64,CMUFMT_UFMT,CMUFMT,UFMT,Coleção de Mamíferos da Universidade Federal de Mato Grosso,Universidade Federal de Mato Grosso,animais,3042,Cuiabá,MT,Brasil,animals mammals vertebrates
65,CMUPF_UPF,CMUPF,UPF,Coleção Mamíferos da UPF,Universidade de Passo Fundo,animais,145,Passo Fundo,RS,Brasil,animals mammals vertebrates
67,COLFlebIEC_IEC,COLFlebIEC,IEC,Coleção de Flebotomíneos do Instituto Evandro Chagas,Instituto Evandro Chagas,animais,64,Levilândia,PA,Brasil,animals diptera flies and mosquitoes insects terrestrial invertebrates
70,COUFMT_UFMT,COUFMT,UFMT,Coleção de Ornitologia da Universidade Federal de Mato Grosso,Universidade Federal de Mato Grosso,animais,23,Cuiabá,MT,Brasil,animals birds vertebrates
72,CPATU-Ento_EMBRAPA,CPATU-Ento,EMBRAPA,Coleção Entomológica da Embrapa Amazônia Oriental - Apoidea,Empresa Brasileira de Pesquisa Agropecuária,animais,18731,Belém,PA,Brasil,animals hymenoptera ants bees and wasps insects terrestrial invertebrates
73,CP-LIPAN_UNEMAT,CP-LIPAN,UNEMAT,Coleção de Peixes do Laboratório de Ictiologia do Pantanal Norte,Universidade do Estado de Mato Grosso,animais,259,Cáceres,MT,Brasil,animals fishes vertebrates
75,CPUFMT_UFMT,CPUFMT,UFMT,Coleção de Peixes da Universidade Federal de Mato Grosso,Universidade Federal de Mato Grosso,animais,4482,Cuiabá,MT,Brasil,animals fishes vertebrates
76,CPUPF_UPF,CPUPF,UPF,Coleção Peixes da UPF,Universidade de Passo Fundo,animais,235,Passo Fundo,RS,Brasil,animals fishes vertebrates
77,CRAR_UNIR,CRAR,UNIR,Coleção de Referência da Avifauna de Rondônia,Universidade Federal de Rondônia,animais,24,Porto Velho,RO,Brasil,animals birds vertebrates
78,CRHRO_UNIR,CRHRO,UNIR,Coleção de Referência da Herpetofauna de Rondônia,Universidade Federal de Rondônia,animais,240,Porto Velho,RO,Brasil,animals reptiles and amphibians vertebrates
80,CRMB_UFMG,CRMB,UFMG,Coleção de Referência de Macroinvertebrados Bentônicos,Universidade Federal de Minas Gerais,animais,10945,Belo Horizonte,MG,Brasil,animals annelida aquatic invertebrates arthropoda equinodermata mollusca
81,CRMRO_UNIR,CRMRO,UNIR,Coleção de Referência da Mastofauna de Rondônia,Universidade Federal de Rondônia,animais,129,Porto Velho,RO,Brasil,animals mammals vertebrates
84,CSUEL_UEL,CSUEL,UEL,Coleção de Sons,Universidade Estadual de Londrina,animais,1341,Londrina,PR,Brasil,animals birds vertebrates
85,CSUPF_UPF,CSUPF,UPF,Coleção de Serpentes da UPF,Universidade de Passo Fundo,animais,1784,Passo Fundo,RS,Brasil,animals reptiles and amphibians vertebrates
90,CZDP-Amphibia_UFPI,CZDP-Amphibia,UFPI,Coleção Zoológica Delta do Parnaíba-Amphibia,Universidade Federal do Piauí,animais,701,Parnaíba,PI,Brasil,animals reptiles and amphibians vertebrates
91,CZDP-Crustacea_UFPI,CZDP-Crustacea,UFPI,Coleção Zoológica Delta do Parnaíba-Crustacea,Universidade Federal do Piauí,animais,70,Parnaíba,PI,Brasil,animals aquatic invertebrates arthropoda
92,CZDP-Pisces_UFPI,CZDP-Pisces,UFPI,Coleção Zoológica Delta do Parnaíba - Pisces,Universidade Federal do Piauí,animais,48,Parnaíba,PI,Brasil,animals fishes vertebrates
93,CZDP-Reptilia_UFPI,CZDP-Reptilia,UFPI,Coleção Zoológica Delta do Parnaíba - Reptilia,Universidade Federal do Piauí,animais,236,Parnaíba,PI,Brasil,animals reptiles and amphibians vertebrates
94,DCBU_UFSCar,DCBU,UFSCar,Coleção Taxonômica do Departamento de Ecologia e Biologia Evolutiva da UFSCar,Universidade Federal de São Carlos,animais,97297,São Carlos,SP,Brasil,animals hymenoptera ants bees and wasps insects terrestrial invertebrates
95,DSEC_UFPB,DSEC,UFPB,Coleção Entomológica do Depto. de Sistemática e Ecologia,Universidade Federal da Paraíba,animais,13689,João Pessoa,PB,Brasil,animals insects terrestrial invertebrates
98,DZSJRP-Acari_UNESP,DZSJRP-Acari,UNESP,Coleção de Ácaros DZSJRP,Universidade Estadual Paulista,animais,11990,São José do Rio Preto,SP,Brasil,acari mites animals arachnids terrestrial invertebrates
99,DZSJRP-Amphibia-adults_UNESP,DZSJRP-Amphibia-adults,UNESP,Coleção de Anfíbios DZSJRP,Universidade Estadual Paulista,animais,15136,São José do Rio Preto,SP,Brasil,animals reptiles and amphibians vertebrates
100,DZSJRP-Amphibia-tadpoles_UNESP,DZSJRP-Amphibia-tadpoles,UNESP,Coleção de Girinos DZSJRP,Universidade Estadual Paulista,animais,9107,São José do Rio Preto,SP,Brasil,animals reptiles and amphibians vertebrates
101,DZSJRP-Chiroptera_UNESP,DZSJRP-Chiroptera,UNESP,Coleção de Quirópteros DZSJRP,Universidade Estadual Paulista,animais,11305,São José do Rio Preto,SP,Brasil,animals mammals vertebrates
102,DZSJRP-Pisces_UNESP,DZSJRP-Pisces,UNESP,Coleção de Peixes DZSJRP,Universidade Estadual Paulista,animais,22971,São José do Rio Preto,SP,Brasil,animals fishes vertebrates
103,DZUB_UnB,DZUB,UnB,Coleção Entomológica da Universidade de Brasília,Universidade de Brasília,animais,5202,Brasília,DF,Brasil,animals hymenoptera ants bees and wasps insects terrestrial invertebrates
104,DZUP-Aphidoidea_UFPR,DZUP-Aphidoidea,UFPR,Coleção Entomológica Pe. Jesus Santiago Moure (Aphidoidea),Universidade Federal do Paraná,animais,11006,Curitiba,PR,Brasil,animals hemiptera insects terrestrial invertebrates
105,DZUP-Ascidiacea_UFPR,DZUP-Ascidiacea,UFPR,Coleção de Ascidiacea DZUP,Universidade Federal do Paraná,animais,410,Curitiba,PR,Brasil,animals aquatic invertebrates chordata
106,DZUP-Coleoptera_UFPR,DZUP-Coleoptera,UFPR,Coleção Entomológica Pe. Jesus Santiago Moure (Coleoptera),Universidade Federal do Paraná,animais,165715,Curitiba,PR,Brasil,animals coleoptera beetles and scarabs insects terrestrial invertebrates
107,DZUP-Dermaptera_UFPR,DZUP-Dermaptera,UFPR,Coleção Entomológica Pe. Jesus Santiago Moure (Dermaptera),Universidade Federal do Paraná,animais,430,Curitiba,PR,Brasil,animals dermaptera earwig insects terrestrial invertebrates
108,DZUP-Diptera_UFPR,DZUP-Diptera,UFPR,Coleção Entomológica Pe. Jesus Santiago Moure (Diptera),Universidade Federal do Paraná,animais,41631,Curitiba,PR,Brasil,animals diptera flies and mosquitoes insects terrestrial invertebrates
109,DZUP-Formicidae_UFPR,DZUP-Formicidae,UFPR,Coleção Entomológica Pe. Jesus Santiago Moure,Universidade Federal do Paraná,animais,1156,Curitiba,PR,Brasil,animals hymenoptera ants bees and wasps insects terrestrial invertebrates
110,DZUP-Hemiptera_UFPR,DZUP-Hemiptera,UFPR,Coleção Entomológica Pe. Jesus Santiago Moure (Hemiptera),Universidade Federal do Paraná,animais,70118,Curitiba,PR,Brasil,animals hemiptera insects terrestrial invertebrates
111,DZUP-Hymenoptera_UFPR,DZUP-Hymenoptera,UFPR,Coleção Entomológica Pe. Jesus Santiago Moure (Hymenoptera),Universidade Federal do Paraná,animais,16423,Curitiba,PR,Brasil,animals hymenoptera ants bees and wasps insects terrestrial invertebrates
112,DZUP-Lepidoptera_UFPR,DZUP-Lepidoptera,UFPR,Coleção Entomológica Pe. Jesus Santiago Moure (Lepidoptera),Universidade Federal do Paraná,animais,5291,Curitiba,PR,Brasil,animals insects lepidoptera butterflies and moths terrestrial invertebrates
113,DZUP-Mammalia_UFPR,DZUP-Mammalia,UFPR,Coleção Mastozoológica DZUP,Universidade Federal do Paraná,animais,1722,Curitiba,PR,Brasil,animals mammals vertebrates
114,DZUP-Mantodea_UFPR,DZUP-Mantodea,UFPR,Coleção Entomológica Pe. Jesus Santiago Moure (Mantodea),Universidade Federal do Paraná,animais,13,Curitiba,PR,Brasil,animals insects terrestrial invertebrates
115,DZUP-Plecoptera_UFPR,DZUP-Plecoptera,UFPR,Coleção Entomológica Pe. Jesus Santiago Moure (Plecoptera),Universidade Federal do Paraná,animais,179,Curitiba,PR,Brasil,animals insects terrestrial invertebrates
116,DZUP-Trichoptera_UFPR,DZUP-Trichoptera,UFPR,Coleção Entomológica Pe. Jesus Santiago Moure (Trichoptera),Universidade Federal do Paraná,animais,4278,Curitiba,PR,Brasil,animals insects terrestrial invertebrates trichoptera caddisflies
127,FCM_FCM,FCM,FCM,Fototeca Cristiano Menezes,Fototeca Cristiano Menezes,animais,1119,Jaguariúna,SP,Brasil,animals hymenoptera ants bees and wasps insects terrestrial invertebrates
129,Fiocruz-CAVAISC_FIOCRUZ,Fiocruz-CAVAISC,FIOCRUZ,Coleção de Artrópodes Vetores Ápteros de Importância em Saúde das Comunidades,Fundação Oswaldo Cruz,animais,10370,Rio de Janeiro,RJ,Brasil,acari mites animals arachnids terrestrial invertebrates
135,Fiocruz-CCER_FIOCRUZ,Fiocruz-CCER,FIOCRUZ,Coleção de Ceratopogonidae,Fundação Oswaldo Cruz,animais,5393,Rio de Janeiro,RJ,Brasil,animals diptera flies and mosquitoes insects terrestrial invertebrates
138,Fiocruz-CCULI_FIOCRUZ,Fiocruz-CCULI,FIOCRUZ,Coleção de Culicidae,Fundação Oswaldo Cruz,animais,4870,Rio de Janeiro,RJ,Brasil,animals diptera flies and mosquitoes insects terrestrial invertebrates
139,Fiocruz-CEIOC_FIOCRUZ,Fiocruz-CEIOC,FIOCRUZ,Coleção Entomológica do Instituto Oswaldo Cruz,Fundação Oswaldo Cruz,animais,49084,Rio de Janeiro,RJ,Brasil,animals coleoptera beetles and scarabs dermaptera earwig diptera flies and mosquitoes hemiptera hymenoptera ants bees and wasps insects lepidoptera butterflies and moths orthoptera grasshoppers crickets hopes terrestrial invertebrates
142,Fiocruz-CHIOC_FIOCRUZ,Fiocruz-CHIOC,FIOCRUZ,Coleção Helmintológica do Instituto Oswaldo Cruz,Fundação Oswaldo Cruz,animais,39366,Rio de Janeiro,RJ,Brasil,animals annelida aquatic invertebrates arthropoda
146,Fiocruz-CMIOC_FIOCRUZ,Fiocruz-CMIOC,FIOCRUZ,Coleção de Moluscos do Instituto Oswaldo Cruz,Fundação Oswaldo Cruz,animais,12317,Rio de Janeiro,RJ,Brasil,animals aquatic invertebrates mollusca
147,Fiocruz-CMM_FIOCRUZ,Fiocruz-CMM,FIOCRUZ,Coleção de Malacologia Médica,Fundação Oswaldo Cruz,animais,16826,Belo Horizonte,MG,Brasil,animals aquatic invertebrates mollusca
148,Fiocruz-CMN_FIOCRUZ,Fiocruz-CMN,FIOCRUZ,Coleção de Mosquitos Neotropicas,Fundação Oswaldo Cruz,animais,42127,Belo Horizonte,MG,Brasil,animals diptera flies and mosquitoes insects terrestrial invertebrates
149,Fiocruz-COLFLEB_FIOCRUZ,Fiocruz-COLFLEB,FIOCRUZ,Coleção de Flebotomíneos,Fundação Oswaldo Cruz,animais,56010,Belo Horizonte,MG,Brasil,animals diptera flies and mosquitoes insects terrestrial invertebrates
152,Fiocruz-COLVET_FIOCRUZ,Fiocruz-COLVET,FIOCRUZ,Coleção de Vetores de Tripanosomatídeos,Fundação Oswaldo Cruz,animais,13251,Belo Horizonte,MG,Brasil,animals hemiptera insects terrestrial invertebrates
153,Fiocruz-CSIOC_FIOCRUZ,Fiocruz-CSIOC,FIOCRUZ,Coleção de Simulídeos do Instituto Oswaldo Cruz,Fundação Oswaldo Cruz,animais,20438,Rio de Janeiro,RJ,Brasil,animals diptera flies and mosquitoes insects terrestrial invertebrates
154,Fiocruz-CTIOC_FIOCRUZ,Fiocruz-CTIOC,FIOCRUZ,Coleção de Triatomíneos do Instituto Oswaldo Cruz,Fundação Oswaldo Cruz,animais,11591,Rio de Janeiro,RJ,Brasil,animals hemiptera insects terrestrial invertebrates
164,FNJV_UNICAMP,FNJV,UNICAMP,Fonoteca Neotropical Jacques Vielliard,Universidade Estadual de Campinas,animais,31094,Campinas,SP,Brasil,animals
170,Funed-Aran_FUNED,Funed-Aran,FUNED,Coleção de Aranhas,Fundação Ezequiel Dias,animais,1526,Belo Horizonte,MG,Brasil,animals arachnids araneae spiders terrestrial invertebrates
171,Funed-Esc_FUNED,Funed-Esc,FUNED,Coleção de Escorpiões,Fundação Ezequiel Dias,animais,235,Belo Horizonte,MG,Brasil,animals arachnids scorpiones scorpions terrestrial invertebrates
173,Funed-Serp_FUNED,Funed-Serp,FUNED,Coleção Científica de Serpentes,Fundação Ezequiel Dias,animais,4009,Belo Horizonte,MG,Brasil,animals reptiles and amphibians vertebrates
178,GEA_UFPA,GEA,UFPA,Laboratório de ictiologia do Grupo de Ecologia Aquática,Universidade Federal do Pará,animais,6972,Belém,PA,Brasil,animals fishes vertebrates
231,HU-Zoo_HU,HU-Zoo,HU,Museum of Comparative Zoology,Harvard University,animais,154987,Cambridge,MA,Estados Unidos,animals
237,HyMB_UFGD,HyMB,UFGD,Coleção de Hymenoptera do Museu de Biodiversidade da UFGD,Universidade Federal da Grande Dourados,animais,1965,Dourados,MS,Brasil,animals hymenoptera ants bees and wasps insects terrestrial invertebrates
239,IAL-aves_IAL,IAL-aves,IAL,Coleção Zoológica de Referência da Seção de Vírus Transmitidos por Artrópodos - Banco de Aves,Instituto Adolfo Lutz,animais,20956,São Paulo,SP,Brasil,animals birds vertebrates
240,IAL-roedores_IAL,IAL-roedores,IAL,Coleção Zoológica de Referência da Seção de Vírus Transmitidos por Artrópodos,Instituto Adolfo Lutz,animais,12029,São Paulo,SP,Brasil,animals mammals vertebrates
243,IBSP-Acari_BUTANTAN,IBSP-Acari,BUTANTAN,Coleção Acarológica do Instituto Butantan,Instituto Butantan,animais,3519,São Paulo,SP,Brasil,acari mites animals arachnids terrestrial invertebrates
244,IBSP-Herpeto_BUTANTAN,IBSP-Herpeto,BUTANTAN,Coleção Herpetológica Alphonse Richard Hoge,Instituto Butantan,animais,66167,São Paulo,SP,Brasil,animals reptiles and amphibians vertebrates
245,IBSP-IB_IB,IBSP-IB,IB,Coleção Entomológica Adolph Hempel do Instituto Biológico,Instituto Biológico,animais,5121,São Paulo,SP,Brasil,animals insects terrestrial invertebrates
247,IctioPk_UFES,IctioPk,UFES,Coleção Ictioplanctônica da Universidade Federal do Espírito Santo,Universidade Federal do Espírito Santo,animais,8409,Vitória,ES,Brasil,animals
249,INHS-Insects_INHS,INHS-Insects,INHS,INHS Insect Collection,Illinois Natural History Survey,animais,22155,Champaign,IL,Estados Unidos,animals coleoptera beetles and scarabs hemiptera hymenoptera ants bees and wasps insects lepidoptera butterflies and moths orthoptera grasshoppers crickets hopes terrestrial invertebrates
251,INPA-Acanthocephala_INPA,INPA-Acanthocephala,INPA,Coleção de Acanthocephala INPA,Instituto Nacional de Pesquisas da Amazônia,animais,13,Manaus,AM,Brasil,animals terrestrial invertebrates
252,INPA-Annelida_INPA,INPA-Annelida,INPA,Coleção de Anelídeos INPA,Instituto Nacional de Pesquisas da Amazônia,animais,139,Manaus,AM,Brasil,animals annelida aquatic invertebrates
